surveyname,datestart,dateclose,crsnum,crsname,crsyear,xlist,deptname,crs_dir,resp_fac,eval_id,eval_uname,eval_email,tsubmit,mobile,gradyear,gender,research1,research2,research3,The instructor made it clear what students were expected to learn.,The instructor communicated the subject matter effectively.,The instructor helped inspire interest in learning the subject matter.,Overall  evaluation of student learning (through exams  essays  presentations  etc.) was fair.,The instructor showed concern for student learning.,Overall  the instructor was an effective teacher.
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 001,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,1,5,5,3,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 001,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Male,,,,1,2,1,3,4,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 001,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,1,5,4,3,2,1
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 001,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,1,4,1,2,3,4
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 001,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Male,,,,1,1,5,4,2,1
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 001,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Male,,,,1,4,4,3,3,4
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 001,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,1,3,4,4,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 002,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,4,5,5,3,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 002,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,3,2,1,3,4,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 002,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Male,,,,4,5,4,3,2,1
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 002,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Male,,,,1,4,1,2,3,4
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 002,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,4,1,5,4,2,1
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 002,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,2,4,4,3,3,4
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 002,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,4,3,4,4,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 003,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,5,5,5,5,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 003,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,5,5,5,5,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 003,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Male,,,,5,5,5,5,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 003,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Male,,,,5,5,5,5,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 003,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,5,5,5,5,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 003,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,5,5,5,5,5,5
LFS Instructor/Course Evaluation 2016W2,03/24/2017,04/09/2017,LFS 200 003,Introduction to LFS,2,,LFS,Justin Lee,Justin Lee,12345677,ABCDEFGHIKL,justin@justin.com,04/09/2017 01:01:47 PM,0,2014,Female,,,,5,5,5,5,5,5
